uid,latitude,longitude,free_bikes,empty_slots,station_name
0001,49.262487,-123.114397,1,32,10th & Cambie
0004,49.274566,-123.121817,10,5,Yaletown-Roundhouse Station
0005,49.279764,-123.110154,8,16,Dunsmuir & Beatty
0007,49.260599,-123.113504,3,12,12th & Yukon (City Hall)
0008,49.264215,-123.117772,3,12,8th & Ash
0009,49.270877,-123.115103,12,0,Spyglass & Seawall
0010,49.26893,-123.11813,13,0,Stamps Landing
0011,49.271721,-123.104207,12,7,Ontario & Seawall
0014,49.287214,-123.11287,8,18,Canada Place
0015,49.282409,-123.118541,0,17,Granville & Georgia
0016,49.287097,-123.118551,6,18,Pender & Burrard
0017,49.273471,-123.118016,20,2,Marinaside & Davie
0019,49.282758,-123.122092,4,26,Robson & Hornby
0024,49.28602,-123.116624,1,21,Hornby & Pender
0025,49.279739,-123.116251,0,18,Homer & Robson (Vancouver Public Library)
0027,49.275679,-123.116963,5,9,Beatty & Nelson
0030,49.282759,-123.106955,15,7,Abbott & Cordova
0032,49.288444,-123.139203,7,10,Comox & Denman
0034,49.289124,-123.12196,1,13,Cordova & Bute
0037,49.28062,-123.12482,1,15,Hornby & Nelson
0039,49.279938,-123.127478,2,10,Helmcken & Burrard
0044,49.273663,-123.127075,7,5,Pacific & Richards
0047,49.28972,-123.144028,4,8,Chilco & Beach
0048,49.285253,-123.134356,4,8,Comox & Broughton
0050,49.283343,-123.131099,9,11,Bute & Comox
0052,49.284605,-123.108662,26,5,Cambie & Water
0053,49.279821,-123.10802,25,1,Keefer & Abbott
0054,49.278004,-123.105664,14,2,Expo & Carrall
0055,49.279342,-123.101822,12,2,Keefer & Columbia
0057,49.273833,-123.114373,22,2,Marinaside & Cooperage
0060,49.28526,-123.141809,19,7,Bidwell & Burnaby
0063,49.281506,-123.120101,5,18,Robson & Granville
0064,49.276115,-123.114496,11,2,Expo & Smithe
0065,49.272827,-123.147744,20,0,Cypress & Cornwall
0066,49.269361,-123.13782,10,18,Anderson & 2nd
0069,49.2653,-123.13811,9,4,7th & Granville
0070,49.262598,-123.138921,7,7,10th & Granville
0071,49.25894,-123.139272,12,1,14th & Granville
0072,49.258763,-123.115392,10,4,14th & Cambie
0073,49.266724,-123.104824,11,8,Ontario & 5th
0074,49.262141,-123.101961,9,8,10th & Main
0076,49.268269,-123.147885,10,7,Cypress & 4th
0077,49.275717,-123.142564,18,9,Vanier Park
0078,49.276436,-123.11877,2,18,Nelson & Mainland
0079,49.277844,-123.120942,6,9,Nelson & Richards
0081,49.265089,-123.119425,4,13,7th & Heather
0088,49.28026,-123.135244,13,6,Harwood & Bute
0092,49.291909,-123.140713,11,6,Chilco & Barclay
0093,49.293257,-123.138563,4,10,Chilco & Robson
0096,49.288011,-123.132006,5,11,Nicola & Robson
0098,49.28117,-123.104419,11,7,Carrall & Hastings
0099,49.283227,-123.120523,5,23,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery
0101,49.299292,-123.130281,10,6,Stanley Park - Vancouver Aquarium
0102,49.29534,-123.150433,8,7,Stanley Park - Second Beach North
0104,49.294318,-123.148808,1,16,Stanley Park - Second Beach South
0105,49.298657,-123.121176,11,8,Stanley Park - Totem Poles
0106,49.259183,-123.120126,1,16,Heather & 14th
0107,49.263837,-123.105173,7,7,8th & Ontario
0108,49.270721,-123.146175,21,4,1st & Chestnut
0109,49.265605,-123.152566,3,11,7th & Arbutus
0110,49.267222,-123.153157,6,10,5th & Arbutus
0112,49.262255,-123.126217,1,29,10th & Oak
0113,49.257654,-123.153212,11,29,Arbutus & 16th
0114,49.25919,-123.148268,2,9,Cypress & 14th
0115,49.25741,-123.148531,9,2,Cypress & 16th
0123,49.285953,-123.124066,6,5,Georgia & Thurlow
0126,49.280881,-123.130672,8,5,Thurlow & Pendrell
0130,49.256845,-123.120071,7,5,Heather & 16th
0132,49.25849,-123.104799,9,7,14th & Ontario
0134,49.258425,-123.100792,3,10,14th & Main
0136,49.270905,-123.126006,17,0,David Lam Park
0137,49.273568,-123.129935,16,0,Beach & Seymour
0138,49.277141,-123.122589,2,15,Richards & Helmcken
0139,49.267859,-123.145782,13,3,Burrard & 4th
0140,49.265336,-123.145823,5,11,Burrard & 7th
0143,49.267628,-123.127698,3,9,Charleson Park
0147,49.275938,-123.145939,10,5,Chestnut & McNicoll
0148,49.2756,-123.102661,12,6,Creekside Park North
0150,49.284157,-123.099917,12,8,Alexander & Main
0152,49.258924,-123.152591,10,9,Arbutus Greenway & 14th
0153,49.266774,-123.141135,8,5,Arbutus Greenway & Fir
0154,49.273355,-123.154493,12,22,Kitsilano Beach Park
0155,49.276144,-123.151272,13,17,Arbutus & McNicoll
0159,49.268339,-123.157443,5,12,Vine & 4th
0161,49.284062,-123.095097,2,11,Alexander & Dunlevy
0166,49.261742,-123.13148,4,9,Alder & 11th
0172,49.262206,-123.109091,1,13,10th & Columbia
0174,49.27023,-123.10651,19,5,1st & Manitoba
0176,49.262062,-123.104656,5,14,10th & Ontario
0177,49.27033,-123.10275,5,12,Quebec & 1st
0180,49.258902,-123.109596,6,8,Columbia & 14th
0191,49.265071,-123.123864,2,11,7th & Laurel
0192,49.265198,-123.131043,12,3,7th &  Alder
0193,49.273691,-123.102232,14,1,Science World
0197,49.2685027,-123.0975014,15,4,1st & Scotia
0201,49.288682,-123.11818,3,14,Rogers Tower
0204,49.271741,-123.155421,14,6,York & Yew
0205,49.262822,-123.14338,8,11,Pine & 10th
0206,49.263635,-123.099236,0,10,8th & Scotia
0207,49.28763,-123.127245,8,12,Alberni & Jervis
0209,49.297933,-123.130758,6,14,Stanley Park - Information Booth
0211,49.258819,-123.131317,2,12,14th & Alder
0213,49.280284,-123.097052,1,13,Pender & Gore
0218,49.276294,-123.106534,16,1,Carrall & Seawall
0221,49.277469,-123.081315,5,8,Glen & Union
0222,49.277665,-123.073653,19,2,Adanac & McLean
0223,49.277436,-123.070427,3,12,Commercial & Adanac
0224,49.280332,-123.070068,12,4,Pender & Commercial
0229,49.279369,-123.091241,3,10,Keefer & Princess
0230,49.283992,-123.091206,3,16,Alexander & Railway
0231,49.274881,-123.069323,8,6,Napier & Commercial
0232,49.275882,-123.071865,14,0,Britannia Parking Lot
0233,49.273777,-123.092723,9,5,Thornton & National
0236,49.265005,-123.079481,23,5,Keith & 6th
0239,49.271377,-123.069416,4,10,Grant & Commercial
0240,49.268616,-123.069908,2,18,2nd & Commercial
0241,49.266969,-123.069936,3,11,4th & Commercial
0242,49.263242,-123.070521,8,11,8th & Commercial
0244,49.261403,-123.070102,7,15,10th & Commercial
0245,49.261263,-123.073707,12,2,Woodland & 10th
0246,49.262242,-123.081459,10,8,Glen & Broadway
0248,49.262321,-123.09306,5,8,St George & Broadway
0249,49.264251,-123.073853,6,5,7th & Woodland
0250,49.266751,-123.073501,5,8,Woodland & 4th
0252,49.270684,-123.073562,4,8,Woodland & Graveley
0253,49.2731,-123.0732,7,6,Charles & Woodland
0255,49.254667,-123.101389,3,13,18th & Main
0256,49.256694,-123.096579,3,11,Prince Edward & 16th
0257,49.258352,-123.096337,5,9,Prince Edward & 14th
0258,49.258817,-123.092797,5,11,13th & St George
0260,49.26151,-123.089413,5,9,10th & Fraser
0261,49.263382,-123.088837,6,10,8th & Fraser
0265,49.261353,-123.085333,2,8,St Catherines & 10th
0266,49.264466,-123.085183,16,3,St Catherines & 7th
0272,49.280197,-123.065859,4,12,Pender & Victoria
0273,49.266725,-123.065925,4,12,Victoria & 4th
0274,49.261188,-123.066009,0,12,Victoria & 10th
0278,49.256857,-123.065646,6,12,15th & Victoria (Trout Lake)
0280,49.283986,-123.065264,9,9,Triumph & Victoria
0281,49.257985,-123.083366,13,1,Windsor & 14th
0282,49.257939,-123.089531,2,13,14th & Fraser
0283,49.256496,-123.075426,4,10,15th & Knight
0285,49.283236,-123.070443,6,10,Commercial & Pandora
0287,49.267266,-123.090786,6,10,Carolina & Great Northern Way
0297,49.265242,-123.095577,4,10,6th & Prince Edward
0298,49.265213,-123.090785,7,9,6th & Carolina
0103,49.302577,-123.155616,11,24,Stanley Park - Third Beach Parking Lot
0212,49.277595,-123.09583,0,15,Union & Dunlevy
0228,49.279235,-123.087528,8,6,Keefer & Hawks
0219,49.277333,-123.087359,5,10,Hawks & Union
0235,49.273103,-123.069892,10,11,Charles & Commercial
0186,49.261973,-123.09725,1,18,10th & Kingsway
0045,49.275295,-123.132585,17,4,Beach & Hornby
0002,49.285871,-123.12105,5,22,Burrard Station (Melville & Dunsmuir)
0300,49.284893,-123.128685,4,24,Bute & Barclay
0170,49.263962,-123.112621,5,19,8th & Yukon
0215,49.277615,-123.091654,1,11,Princess & Union
0012,49.282214,-123.114101,2,19,Dunsmuir & Richards
0198,49.266456,-123.100324,10,8,5th & Main
0119,49.268216,-123.103168,8,11,3rd & Quebec
0124,49.284554,-123.111031,12,4,Richards & Cordova
0129,49.280216,-123.117639,1,19,Richards & Robson
0006,49.266314,-123.116011,4,21,Olympic Village Station
0227,49.280852,-123.084746,6,7,Campbell & Hastings
0040,49.285512,-123.1384,4,14,Cardero & Davie
0083,49.27821,-123.136972,13,25,Aquatic Centre
0084,49.281301,-123.139108,8,14,Beach & Broughton
0142,49.283298,-123.142288,10,11,Beach & Cardero
0305,49.280787,-123.115271,2,16,Georgia & Homer
0165,49.266476,-123.109389,11,7,Columbia & 5th
0122,49.290587,-123.13625,17,2,Haro & Denman
0075,49.262835,-123.152626,13,5,Arbutus & 10th
0133,49.256825,-123.105234,3,11,Ontario & 16th
0082,49.275683,-123.124388,6,8,Richards & Davie
0262,49.263518,-123.09568,17,1,8th & Prince Edward
0310,49.28691,-123.128818,5,14,Jervis & Robson
0217,49.282503,-123.124697,0,18,Smithe & Burrard
0087,49.283749,-123.136133,2,18,Broughton & Davie
0068,49.262944,-123.148109,6,7,Cypress & 10th
0189,49.27029,-123.135025,9,22,Granville Island
0225,49.280427,-123.074082,7,8,McLean & Pender
0058,49.279259,-123.119145,1,16,Richards & Smithe
0036,49.285836,-123.127265,0,0,Bute & Robson
0460,49.272969,-123.164325,3,17,Trafalgar & Cornwall
0410,49.27247,-123.185643,10,12,Alma & Point Grey
0440,49.271471,-123.17731,3,11,Point Grey & Blenheim
0035,49.290112,-123.127062,17,7,Hastings & Broughton
0484,49.263523,-123.155267,9,9,Yew & Broadway
0452,49.264928,-123.168068,12,8,8th & Macdonald
0444,49.264483,-123.173926,10,6,Balaclava & Broadway
0415,49.264579,-123.18373,13,12,Dunbar & Broadway
0254,49.263746,-123.069892,6,9,Grandview & Commercial
0202,49.258761,-123.127071,1,11,14th & Oak
0401,49.268974,-123.190701,9,9,Wallace & 4th
0470,49.273011,-123.159663,15,3,Balsam & Cornwall
0443,49.266924,-123.173849,10,5,Balaclava & 6th
0464,49.264326,-123.164725,3,13,Trafalgar & Broadway
0414,49.266636,-123.183661,14,2,Dunbar & 6th
0531,49.254818,-123.114785,12,10,18th & Cambie
0431,49.268837,-123.177633,12,10,Blenheim & 4th
0511,49.255034,-123.120226,0,15,Heather & 18th
0450,49.271044,-123.170661,10,5,Point Grey & Bayswater
0561,49.252691,-123.101289,8,8,20th & Main
0354,49.272172,-123.097978,13,5,Station & Terminal
0089,49.27808,-123.130557,0,20,Burrard & Drake
0173,49.269969,-123.109623,17,6,Columbia & 1st
0028,49.287528,-123.142139,27,2,Davie & Beach
0031,49.28803,-123.142135,8,18,Morton & Denman
0311,49.259579,-123.114769,1,13,13th & Cambie
0313,49.2890705989865,-123.138407369468,7,9,Nelson & Denman
0190,49.287782,-123.12395,3,10,Melville & Bute
0308,49.28512,-123.11242,1,18,Seymour & Cordova
0480,49.247854,-123.153422,8,9,Arbutus & Nanton
0171,49.265939,-123.1129,2,13,Yukon & 6th
0179,49.261122,-123.097571,3,11,11th & Kingsway
0144,49.267725,-123.11311,18,0,Wylie & 2nd
0526,49.245135,-123.116098,3,17,29th & Cambie
0314,49.274232,-123.129998,14,1,Rolston & Granville
0482,49.238105,-123.154966,10,8,East Blvd & 37th
0505,49.246243,-123.124373,2,15,28th & Willow
0554,49.249722,-123.104991,2,10,Ontario & 23rd
0557,49.243375,-123.104978,9,12,30th & Ontario
0642,49.282087,-123.056909,3,15,Franklin & Nanaimo
0631,49.283968,-123.061615,5,10,Lakewood & Triumph
0611,49.287464,-123.060771,7,10,Wall & Eton
0621,49.285575,-123.061575,6,12,Lakewood & Oxford
0532,49.251358,-123.115637,1,13,22nd & Cambie
0524,49.249184,-123.116141,0,18,King Edward & Cambie
0516,49.245535,-123.120496,6,15,Heather & 29th
0041,49.289255,-123.132677,15,11,Cardero & Robson
0352,49.252656,-123.067965,2,17,Commercial & 20th
0210,49.259469,-123.145718,10,7,Burrard & 14th
0196,49.277178,-123.13,0,24,Hornby & Drake
0200,49.291597,-123.129158,18,1,Cardero & Bayshore
0565,49.247204,-123.101549,3,19,27th & Main
0021,49.2856698,-123.1125432,12,4,Cordova & Granville
0563,49.25094,-123.101306,1,12,22nd & Main
0315,49.270783,-123.141564,7,13,1st & Fir
0716,49.264019,-123.209176,2,20,Sasamat & 10th
0715,49.2658,-123.20596,1,18,Trimble & 8th
0403,49.265442,-123.187738,13,6,Highbury & 8th
2132,49.267561,-123.252261,0,18,IK Barber Learning Centre
2143,49.2665793,-123.2485487,5,23,War Memorial Gym
2156,49.26262,-123.2431,10,13,Pharmaceutical Sciences
0199,49.278529,-123.100017,6,14,Georgia & Main
0026,49.277773,-123.114237,9,10,Robson & Beatty
2114,49.263073,-123.254307,4,15,West Mall Swing Space Building
2116,49.259999,-123.250902,2,24,Orchard Commons
2252,49.25478,-123.23621,11,15,Wesbrook Village - Berton & Shrum
0617,49.27751,-123.061429,5,14,Adanac & Lakewood
0013,49.283482,-123.103738,15,10,Maple Tree Square
0400,49.271221,-123.191133,17,7,Jericho Beach
0169,49.283668,-123.109002,11,5,Cambie & Cordova
0187,49.282055,-123.133045,4,14,Bute & Davie
